brand;count
Abarth;0
AC;0
Acura;1
AIQAR;0
AITO;0
Aixam;0
Alfa Romeo;5
Alpina;0
Arcfox;0
Artega;0
Asia Motors;0
Aston Martin;0
Audi;131
Austin;0
Austin Healey;0
Avatr;0
BAIC;0
Bentley;1
BMW;201
Borgward;0
Brilliance;0
Bugatti;0
Buick;0
BYD;0
Cadillac;4
Casalini;0
Caterham;0
Changan;0
Chatenet;0
Chery;0
CheryExeed;0
Chevrolet;17
Chrysler;15
Citroën;39
Cobra;0
Corvette;0
Cupra;0
Dacia;3
Daewoo;0
Daihatsu;0
Datsun;0
DeTomaso;0
DFSK;0
Dodge;5
DongFeng;0
Donkervoort;0
DS Automobiles;1
ErAZ;0
FAW;0
Ferrari;0
Fiat;18
Fisker;0
Ford;75
GAC Gonow;0
Geely;0
Gemballa;0
Genesis;0
GMC;0
Great Wall;0
Grecav;0
Hamann;0
Holden;0
Honda;43
Hongqi;0
Hummer;2
Hyundai;18
Infiniti;3
Isuzu;0
Iveco;1
JAC;0
Jaguar;6
Jeep;8
Jetour;0
Kia;25
Koenigsegg;0
Königsegg;0
KTM;0
Lada;5
Lamborghini;0
Lancia;0
Land Rover;14
Landwind;0
Lexus;12
Lifan;0
Ligier;1
Lincoln;1
LiXiang;0
Lotus;0
Mahindra;0
Maserati;0
Maybach;0
Mazda;13
McLaren;0
Mercedes-Benz;152
Mercury;0
MG;0
Microcar;2
MINI;6
Mitsubishi;27
Morgan;0
Nissan;22
NSU;0
Oldsmobile;0
Opel;52
Pagani;0
Peugeot;52
Piaggio;0
Plymouth;1
Polestar;0
Pontiac;0
Porsche;5
Proton;0
RAM;0
Renault;36
Rivian;0
Rolls-Royce;0
Rover;1
Ruf;0
Saab;11
Santana;0
Seat;18
Skoda;59
Skywell;0
Smart;1
speedART;0
Spyker;0
Ssangyong;0
Subaru;13
Suzuki;8
Talbot;0
Tata;0
TECHART;0
Tesla;3
Toyota;74
Trabant;0
Triumph;0
TVR;0
Volkswagen;153
Volvo;92
Voyah;0
Wartburg;0
Westfield;0
Wiesmann;0
Willys;0
Xpeng;0
Zeekr;0
ВАЗ;1
ГАЗ;5
ЗАЗ;5
ЛуАЗ;0
Москвич;6
УАЗ;0
