brand_name;count
Acura;135
Alfa Romeo;110
Aston Martin;1
Audi;4144
Bentley;1
BMW;4051
BMW-Alpina;2
Brilliance;3
Buick;71
BYD;62
Cadillac;69
Chana;4
Chery;734
Chevrolet;2289
Chrysler;213
Citroen;924
Dacia;431
Dadi;19
Daewoo;2945
Daihatsu;30
Dodge;387
FAW;4
Ferrari;1
Fiat;931
Ford;4652
Geely;490
GMC;53
Great Wall;71
Groz;2
Honda;1323
Hummer;7
Hyundai;2920
Infiniti;281
Isuzu;22
Iveco;10
JAC;26
Jaguar;146
Jeep;982
Kia;2181
Lamborghini;4
Lancia;26
Land Rover;451
Lexus;588
Lifan;20
Lincoln;149
Lotus;1
Maserati;22
Maybach;0
Mazda;2122
McLaren;0
Mercedes-Benz;3584
Mercury;0
MG;34
MINI;135
Mitsubishi;1899
Nissan;3400
Oldsmobile;3
Opel;3999
Peugeot;1659
Polestar;17
Pontiac;3
Porsche;179
Proton;1
Ram;16
Ravon;19
Renault;3945
Rolls-Royce;1
Roewe;0
Rover;35
Saab;34
Samand;21
Samsung;8
Seat;378
Shelby;0
Skoda;3112
Smart;138
SsangYong;221
Subaru;689
Suzuki;336
TATA;3
Tesla;784
Toyota;2632
Volkswagen;8727
Volvo;771
Wartburg;6
ZX;7
Богдан;9
ВАЗ;8507
ГАЗ;1088
ЗАЗ;1713
ИЖ;66
ЛуАЗ;59
Москвич / АЗЛК;400
РАФ;9
УАЗ;297
Інші;196
