Brand,Count
"BMW(5294)
»",5293
"Volkswagen(4846)
»",4848
"Audi(3481)
»",3481
"Toyota(2415)
»",2415
"Volvo(2238)
»",2238
"Ford(2117)
»",2117
"Opel(2000)
»",2001
"Peugeot(1466)
»",1466
"Skoda(1362)
»",1362
Audi automobiliai,3481
Volkswagen automobiliai,4848
BMW automobiliai,5293
Opel automobiliai,2001
Ford automobiliai,2117
Renault automobiliai,1088
Peugeot automobiliai,1466
Toyota automobiliai,2415
Volvo automobiliai,2238
Nissan automobiliai,1252
Mitsubishi automobiliai,295
Honda automobiliai,480
Hyundai automobiliai,671
Citroen automobiliai,984
Mazda automobiliai,457
